"BF_ID";"SCHICHT_NR";"HOR_NR";"OTIEF";"UTIEF";"SW_HORIZ";"HORIZ";"BOART";"GROBBOD_F";"GROBBOD_K";"HUMUS";"KALK";"KOHLE";"SUBSTRART";"PH";"LD";"GEFUEGE";"SV";"STRAT";"STRAT_JUENGST_PRAEG";"STRAT_URSP";"GEOGEN";"HERK";"LAGE"
8400;2;4;6,50;10,00;"II";"Sd-ilCv";"St3";"X";5;"h0";"c0";;"c-sln(*Tsf)";;"Ld4";;;"qp";"qp";;"c";"*Tsf";
8400;3;5;10,00;20,00;"III";"mCn";;;;;;;"n-+G";;;;;;;;"n";"+G";
8401;1;1;0,00;8,00;;"hHvm";"Hh";;1;"h7";"c0";;"og-Hh";;;;"SV4";"qh";"qh";;"og";"Hh";
8401;1;2;8,00;10,00;;"hHv";"Hh";;1;"h7";"c0";;"og-Hh";;;;"SV4";"qh";"qh";;"og";"Hh";
8401;2;3;10,00;20,00;"II";"Gr";"Ls3";"Gr";4;"h0";"c0";;"p-zll(*Gl)";;"Ld3";;;"qp";"qp";;"p";"*Gl";
8402;1;1;0,00;8,00;;"hHw";"Hh";;1;"h7";"c0";;"og-Hh";;;;"SV3";"qh";"qh";;"og";"Hh";
8402;1;2;8,00;10,00;;"hHr";"Hh";;1;"h7";"c0";;"og-Hh";;;;"SV3";"qh";"qh";;"og";"Hh";
8402;2;3;10,00;20,00;"II";"Gr";"Ls3";"Gr";4;"h0";"c0";;"p-zll(*Gl)";;"Ld3";;;"qp";"qp";;"p";"*Gl";
8403;1;1;0,00;2,50;;"hHw";"Hh";;1;"h7";"c0";;"og-Hh";;;;"SV3";"qh";"qh";;"og";"Hh";
8403;2;2;2,50;4,00;"II";"Ah-Serw";"Sl4";"Gr";2;"h2";"c0";;"p-(z)sl(*Gl)";;"Ld3";;;"qp";"qp";;"p";"*Gl";
8403;2;3;4,00;10,00;;"Serw";"Ls4";"Gr";4;"h1";"c0";;"p-zll(*Gl)";;"Ld3";;;"qp";"qp";;"p";"*Gl";
8403;3;4;10,00;20,00;"III";"Srd";"Ls2";"Gr";5;"h0";"c0";;"c-llz(*Gl)";;"Ld4";;;"qp";"qp";;"c";"*Gl";
8404;1;1;0,00;1,00;;"Ah";"Ls3";"X";5;"h4";"c0";;"pfl-lln(*M,*Q)";;"Ld2";;;"qp";"qp";;"pfl";"*M,*Q";"LH"
8404;1;2;1,00;5,00;;"Bv";"Ls3";"X";5;"h0";"c0";;"pfl-lln(*M,*Q)";;"Ld3";;;"qp";"qp";;"pfl";"*M,*Q";"LH"
8404;2;3;5,00;7,00;"II";"ilCv";"Ls4";"X";5;"h0";"c0";;"c-lln(*M,*Q)";;"Ld3";;;"qp";"qp";;"c";"*M,*Q";
8404;3;4;7,00;20,00;"III";"mCn";;;;;;;"n-*M,*Q";;;;;"pl";"pl";;"n";"*M,*Q";
8405;1;1;0,00;2,00;;"Ah";"Ls3";"X";5;"h4";"c0";;"pfl-lln(*M,*Q)";;"Ld2";;;"qp";"qp";;"pfl";"*M,*Q";"LB"
8405;2;2;2,00;5,00;"II";"ilCv";"Ls3";"X";5;"h0";"c0";;"c-lln(*M,*Q)";;"Ld3";;;"qp";"qp";;"c";"*M,*Q";
8405;3;3;5,00;20,00;"III";"mCn";;;;;;;"n-*M,*Q";;;;;"pl";"pl";;"n";"*M,*Q";
8406;1;1;0,00;2,00;;"Ah";"Ls3";"X";5;"h4";"c0";;"pfl-lln(*M,*Q)";;"Ld2";;;"qp";"qp";;"pfl";"*M,*Q";"LB"
8406;1;2;2,00;5,00;;"ilCv";"Ls4";"X";5;"h0";"c0";;"pfl-lln(*M,*Q)";;"Ld3";;;"qp";"qp";;"pfl";"*M,*Q";"LB"
8406;2;3;5,00;8,00;"II";"ilCv";"Ls4";"X";5;"h0";"c0";;"c-lln(*M,*Q)";;"Ld3";;;"qp";"qp";;"c";"*M,*Q";
8406;3;4;8,00;20,00;"III";"mCn";;;;;;;"n-*M,*Q";;;;;"pl";"pl";;"n";"*M,*Q";
8407;1;1;0,00;1,50;;"Ah";"Ls2";"X";5;"h4";"c0";;"pfl-lln(*M,*Q)";;"Ld2";;;"qp";"qp";;"pfl";"*M,*Q";"LH"
8407;1;2;1,50;5,00;;"Bv-Sw";"Ls2";"X";5;"h0";"c0";;"pfl-lln(*M,*Q)";;"Ld3";;;"qp";"qp";;"pfl";"*M,*Q";"LH"
8407;2;3;5,00;9,00;"II";"Sd";"Lt2";"X";5;"h0";"c0";;"pfl-lln(*M,*Q)";;"Ld4";;;"qp";"qp";;"pfl";"*M,*Q";"LB"
8407;3;4;9,00;12,00;"III";"imCv";"Sl4";"X";6;"h0";"c0";;"c-n(*M,*Q)";;"Ld4";;;"qp";"qp";;"c";"*M,*Q";
8407;4;5;12,00;20,00;"IV";"mCn";;;;;;;"n-*M,*Q";;;;;"pl";"pl";;"n";"*M,*Q";
8408;1;1;0,00;3,00;;"Ap";"Ls3";"X";5;"h3";"c0";;"pfl-lln(*M,*Q)";;"Ld2";;;"qp";"qp";;"pfl";"*M,*Q";"LH"
8408;1;2;3,00;5,00;;"Sw";"Ls3";"X";5;"h0";"c0";;"pfl-lln(*M,*Q)";;"Ld3";;;"qp";"qp";;"pfl";"*M,*Q";"LH"
8408;2;3;5,00;10,00;"II";"Sd";"Ls2";"X";5;"h0";"c0";;"pfl-lln(*M,*Q)";;"Ld4";;;"qp";"qp";;"pfl";"*M,*Q";"LB"
8408;3;4;10,00;20,00;"III";"imCn";;;;;;;"n-*M,*Q";;;;;"pl";"pl";;"n";"*M,*Q";
8410;1;1;0,00;2,50;;"Ap";"Ut2";"X";2;"h3";"c0";;"pfl-(n)lu(Lol)";;"Ld3";;;"qp";"qp";;"pfl";"Lol";"LH"
8410;1;2;2,50;5,50;;"Bv";"Ut3";"X";2;"h0";"c0";;"pfl-(n)lu(Lol)";;"Ld3";;;"qp";"qp";;"pfl";"Lol";"LH"
8410;2;3;5,50;20,00;"II";"elCv";"Lu";"X";2;"h0";"c3.4";;"a-(n)ctu(Lo)";;"Ld3";;;"qp";"qp";;"a";"Lo";
8413;1;1;0,00;2,50;;"Ap";"Ut2";"X";2;"h2";"c0";;"pfl-(n)lu(Lol)";;"Ld3";;;"qp";"qp";;"pfl";"Lol";"LH"
8413;1;2;2,50;4,00;;"Al-Sw";"Ut2";"X";2;"h1";"c0";;"pfl-(n)lu(Lol)";;"Ld3";;;"qp";"qp";;"pfl";"Lol";"LH"
8413;2;3;4,00;6,00;"II";"Bt-Sd";"Tu4";"X";3;"h0";"c0";;"pfl-(n)ut(Lol)";;"Ld4";;;"qp";"qp";;"pfl";"Lol";"LM"
8413;3;4;6,00;10,00;"III";"ilCv";"Tu2";"X";4;"h0";"c0";;"pfl-nlt(*M)";;"Ld5";;;"qp";"qp";;"pfl";"*M";"LB"
8413;4;5;10,00;20,00;"IV";"mCv";"Tu2";"X";6;"h0";"c0";;"c-n(*M)";;"Ld5";;;"qp";"qp";;"c";"*M";
8414;1;1;0,00;3,00;;"Ap";"Ut2";"X";2;"h3";"c0";;"pfl-(n)lu(Lol)";;"Ld2";;;"qp";"qp";;"pfl";"Lol";"LH"
8414;1;2;3,00;5,00;;"Sw";"Ut3";"X";2;"h0";"c0";;"pfl-(n)lu(Lol)";;"Ld3";;;"qp";"qp";;"pfl";"Lol";"LH"
8414;2;3;5,00;10,00;"II";"Sd";"Ut4";"X";3;"h0";"c0";;"pfl-(n)tu(Lol)";;"Ld4";;;"qp";"qp";;"pfl";"Lol";"LM"
8414;3;4;10,00;20,00;"III";"mCv";"Tu2";"X";6;"h0";"c0";;"c-n(*M)";;"Ld5";;;"qp";"qp";;"c";"*M";
8415;1;1;0,00;2,50;;"Ap";"Ut2";"X";2;"h3";"c0";;"pfl-(n)lu(Lol)";;"Ld3";;;"qp";"qp";;"pfl";"Lol";"LH"
8415;1;2;2,50;5,50;;"Bv";"Ut3";"X";2;"h0";"c0";;"pfl-(n)lu(Lol)";;"Ld3";;;"qp";"qp";;"pfl";"Lol";"LH"
