"GEN_ID";"BF_ID";"BOF_NR";"STATUS";"BODTYP";"BO_SUBTYP";"BO_SUBTYP_TXT";"BODSYSTEINH";"BODSYSTEINH_TXT";"SUBSTRSUBTYP";"KULTUR";"HUFORM";"GWS";"VNGRAD";"MHGW";"MGW";"MNGW";"FLANT_SPANNE";"FLANT_MITTELW"
888;4310;1;"Leitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"A";;;;;;;"30 bis < 50";40
888;4311;2;"Begleitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"G";;;;;;;"10 bis < 30";20
888;4312;3;"Begleitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"F";"MOR";;;;;;"10 bis < 30";20
888;4313;4;"Begleitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"A";;;;;;;"< 10";5
888;4314;5;"Begleitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"G";;;;;;;"< 10";5
888;4315;6;"Begleitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"F";"MOR";;;;;;"< 10";5
888;4316;7;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"YKn";"Normkolluvisol";"uk-u(Lo)";"A";;;;;;;"< 10";5
888;4317;8;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"YKn";"Normkolluvisol";"uk-u(Lo)";"G";;;;;;;"< 10";5
889;4318;1;"Leitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"A";;;;;;;"30 bis < 50";40
889;4319;2;"Begleitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"G";;;;;;;"10 bis < 30";20
889;4320;3;"Begleitprofil";"LL";"LLn";"Normparabraunerde";"LLn";"Normparabraunerde";"a-t(Lo)";"F";"MOR";;;;;;"< 10";5
889;4321;4;"Begleitprofil";"TT";"LL-TT";"Parabraunerde-Tschernosem";"LL-TT";"Parabraunerde-Tschernosem";"a-u(Lo)";"A";;;;;;;"10 bis < 30";20
889;4322;5;"Begleitprofil";"TT";"LL-TT";"Parabraunerde-Tschernosem";"LL-TT";"Parabraunerde-Tschernosem";"a-u(Lo)";"G";;;;;;;"< 10";5
889;4323;6;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"YKn";"Normkolluvisol";"uk-u(Lo)";"A";;;;;;;"< 10";5
889;4324;7;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"YKn";"Normkolluvisol";"uk-u(Lo)";"G";;;;;;;"< 10";5
889;4325;8;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"YKn";"Normkolluvisol";"uk-u(Lo)";"F";"MOR";;;;;;"< 10";5
890;4330;5;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"sYKn";"pseudovergleyter Normkolluvisol";"uk-u(Lo)";"G";;;;;;;"< 10";5
892;4338;1;"Leitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)";"G";;;;;;;"50 bis < 70";60
892;4339;2;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)";"A";;;;;;;"< 10";5
892;4340;3;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)";"F";"MOR";;;;;;"10 bis < 30";20
892;4341;4;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)//ff-s(Sf)";"A";;;;;;;"< 10";5
892;4342;5;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)//ff-s(Sf)";"G";;;;;;;"< 10";5
892;4343;6;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)//ff-s(Sf)";"F";"MOR";;;;;;"< 10";5
742;4345;7;"Begleitprofil";"BB";"BBn";"Normbraunerde";"BBn";"Normbraunerde";"pfl-(z)u(^k,^mk,Lo)/pfl-n(^mkk)";"G";;;;;;;"< 10";5
742;4346;8;"Begleitprofil";"BB";"BBn";"Normbraunerde";"BBn";"Normbraunerde";"pfl-(z)u(^k,^mk,Lo)/pfl-n(^mkk)";"F";"MUT";;;;;;"< 10";5
762;4347;6;"Begleitprofil";"SS";"SSn";"Normpseudogley";"SSn";"Normpseudogley";"pfl-u(Lol,v)/pfl-t(Tflp)";"F";"MOR";;;;;;"< 10";5
762;4348;7;"Begleitprofil";"SS";"BB-SS";"Braunerde-Pseudogley";"BB-SS";"Braunerde-Pseudogley";"pfl-(k)l(v,Lol)/pfl-kl(Lflp)";"G";;;;;;;"< 10";5
762;4349;8;"Begleitprofil";"SS";"BB-SS";"Braunerde-Pseudogley";"BB-SS";"Braunerde-Pseudogley";"pfl-(k)l(v,Lol)/pfl-kl(Lflp)";"F";"MOR";;;;;;"< 10";5
764;4350;7;"Begleitprofil";"SS";"LL-SS";"Parabraunerde-Pseudogley";"LL-SS";"Parabraunerde-Pseudogley";"pfl-(z)u(Lol)//pfl-t(^to)";"A";;;;;;;"10 bis < 30";20
764;4351;8;"Begleitprofil";"SS";"SSn";"Normpseudogley";"SSn";"Normpseudogley";"pfl-(z)u(Lol)//pfl-t(^to)";"G";;;;;;;"< 10";5
768;4352;6;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"YKn";"Normkolluvisol";"uk-u(Lo)";"A";;;;;;;"< 10";5
768;4353;7;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"YKn";"Normkolluvisol";"uk-u(Lo)";"G";;;;;;;"< 10";5
768;4354;8;"Begleitprofil";"LL";"SS-LL";"Pseudogley-Parabraunerde";"SS-LL";"Pseudogley-Parabraunerde";"a-u(Lo)";"A";;;;;;;"10 bis < 30";20
893;4361;1;"Leitprofil";"BB";"BBn";"Normbraunerde";"BBn";"Normbraunerde";"pfl-u(Lo,s)/s-s(S)";"A";;;;;;;"30 bis < 50";40
